Producto,Comentario,Caso_a_revisar
Zapatillas deportivas,Material resistente y bonito diseño.,False
Zapatillas deportivas,El producto llegó antes de lo esperado y funciona perfecto.,False
Zapatillas deportivas,"Parece usado, llegó sucio.",False
Zapatillas deportivas,"Me encanta, repetiré la compra.",False
Zapatillas deportivas,Muy cómodo y se ve de buena calidad.,False
Zapatillas deportivas,Muy práctico para el día a día.,False
Zapatillas deportivas,"Parece usado, llegó sucio.",False
Zapatillas deportivas,Muy práctico para el día a día.,False
Auriculares Bluetooth,Encaja perfectamente con lo que buscaba.,False
Auriculares Bluetooth,"Excelente calidad, superó mis expectativas.",False
Auriculares Bluetooth,Muy incómodo y mal acabado.,False
Auriculares Bluetooth,No vale lo que cuesta.,False
Auriculares Bluetooth,Gran relación calidad-precio.,False
Auriculares Bluetooth,"Producto básico, cumple.",False
Auriculares Bluetooth,"Me encanta, repetiré la compra.",False
Auriculares Bluetooth,Lo recomiendo totalmente.,False
Auriculares Bluetooth,La calidad deja mucho que desear.,False
Auriculares Bluetooth,"Parece usado, llegó sucio.",False
Auriculares Bluetooth,"Me encanta, repetiré la compra.",False
Sudadera con capucha,No funciona como se describe.,False
Sudadera con capucha,"Producto básico, cumple.",False
Sudadera con capucha,Se rompió al segundo uso.,False
Sudadera con capucha,Gran relación calidad-precio.,False
Sudadera con capucha,Se rompió al segundo uso.,False
Sudadera con capucha,Es justo lo que esperaba por ese precio.,False
Sudadera con capucha,Buena duración de batería y sonido claro.,False
Sudadera con capucha,No vale lo que cuesta.,False
Mochila escolar,Gran relación calidad-precio.,False
Mochila escolar,Se rompió al segundo uso.,False
Mochila escolar,Muy incómodo y mal acabado.,False
Mochila escolar,El color no coincide con el de la foto.,False
Mochila escolar,"Me encanta, repetiré la compra.",False
Mochila escolar,Muy práctico para el día a día.,False
Mochila escolar,Lo recomiendo totalmente.,False
Mochila escolar,"Cumple con lo que promete, sin más.",False
Mochila escolar,"Excelente calidad, superó mis expectativas.",False
Camiseta básica,Muy cómodo y se ve de buena calidad.,False
Camiseta básica,Encaja perfectamente con lo que buscaba.,False
Camiseta básica,"Producto básico, cumple.",False
Camiseta básica,Buena duración de batería y sonido claro.,False
Camiseta básica,Buena duración de batería y sonido claro.,False
Camiseta básica,El producto llegó antes de lo esperado y funciona perfecto.,False
Camiseta básica,Muy práctico para el día a día.,False
Camiseta básica,No funciona como se describe.,False
Camiseta básica,Encaja perfectamente con lo que buscaba.,False
Camiseta básica,Gran relación calidad-precio.,False
Reloj inteligente,Se rompió al segundo uso.,False
Reloj inteligente,Se rompió al segundo uso.,False
Reloj inteligente,El producto llegó antes de lo esperado y funciona perfecto.,False
Reloj inteligente,No lo recomiendo en absoluto.,False
Reloj inteligente,No lo recomiendo en absoluto.,False
Reloj inteligente,Buena duración de batería y sonido claro.,False
Reloj inteligente,"Parece usado, llegó sucio.",False
Reloj inteligente,"Cumple con lo que promete, sin más.",False
Reloj inteligente,Se rompió al segundo uso.,False
Chaqueta impermeable,No vale lo que cuesta.,False
Chaqueta impermeable,"Me encanta, repetiré la compra.",False
Chaqueta impermeable,"Excelente calidad, superó mis expectativas.",False
Chaqueta impermeable,"Nada destacable, pero funciona.",False
Chaqueta impermeable,"Normal, ni bueno ni malo.",False
Chaqueta impermeable,Se rompió al segundo uso.,False
Chaqueta impermeable,"Nada destacable, pero funciona.",False
Chaqueta impermeable,"No está mal, pero hay mejores.",False
Chaqueta impermeable,Muy incómodo y mal acabado.,False
Chaqueta impermeable,El producto llegó antes de lo esperado y funciona perfecto.,False
Chaqueta impermeable,"Parece usado, llegó sucio.",False
Chaqueta impermeable,Aceptable para el precio.,False
Bolso de mano,Muy cómodo y se ve de buena calidad.,False
Bolso de mano,"Nada destacable, pero funciona.",False
Bolso de mano,Gran relación calidad-precio.,False
Bolso de mano,Es justo lo que esperaba por ese precio.,False
Bolso de mano,Buena duración de batería y sonido claro.,False
Bolso de mano,"No está mal, pero hay mejores.",False
Bolso de mano,Muy incómodo y mal acabado.,False
Bolso de mano,"Parece usado, llegó sucio.",False
Bolso de mano,Muy práctico para el día a día.,False
Bolso de mano,Está bien para uso ocasional.,False
Pantalones vaqueros,"Podría ser mejor, pero tampoco está mal.",False
Pantalones vaqueros,No lo recomiendo en absoluto.,False
Pantalones vaqueros,"Producto básico, cumple.",False
Pantalones vaqueros,Muy práctico para el día a día.,False
Pantalones vaqueros,Gran relación calidad-precio.,False
Pantalones vaqueros,Lo recomiendo totalmente.,False
Pantalones vaqueros,Muy práctico para el día a día.,False
Pantalones vaqueros,Gran relación calidad-precio.,False
Pantalones vaqueros,"Excelente calidad, superó mis expectativas.",False
Tablet Android,"Excelente calidad, superó mis expectativas.",False
Tablet Android,Es justo lo que esperaba por ese precio.,False
Tablet Android,Demoró demasiado en llegar.,False
Tablet Android,El color no coincide con el de la foto.,False
Tablet Android,No funciona como se describe.,False
Tablet Android,El color no coincide con el de la foto.,False
Tablet Android,No lo recomiendo en absoluto.,False
Tablet Android,Muy cómodo y se ve de buena calidad.,False
Tablet Android,No vale lo que cuesta.,False
Camiseta básica,Tan bueno que casi lo devuelvo de la emoción.,True
Camiseta básica,La batería dura una eternidad... si no la usas.,True
Bolso de mano,Perfecto para quienes no esperan mucho.,True
Chaqueta impermeable,Ideal para regalar a alguien que no te cae bien.,True
Tablet Android,No esperaba nada y aún así me decepcionó.,True
Zapatillas deportivas,Funciona... cuando quiere.,True
Camiseta básica,Parecía más barato en la foto.,True
Mochila escolar,Es tan resistente como el papel mojado.,True
Pantalones vaqueros,Al menos hace bonito en la estantería.,True
Sudadera con capucha,"Si el objetivo era frustrarme, ¡misión cumplida!",True
